"","id","title","nop","price","rating","publisher","year"
"1",54774,"خرده‌ عادت‌ها راهي آسان و اثبات‌شده براي ايجاد عادت‌هاي خوب و از بين‌بردن عادت‌هاي بد",242,7500,4.23711340206186,"انتشارات ميلکان","spring98"
"2",54131,"عادت‌هاي اتمي؛ يک راه ساده و اثبات‌شده براي ايجاد عادات خوب و شکستن عادات بد",275,7500,4.10822510822511,"نشر نوين","spring98"
"3",53934,"مجله ناداستان ـ شماره <U+06F0><U+06F0><U+06F1> ـ فروردين <U+06F9><U+06F8>",225,12000,4.21739130434783,"ناداستان","spring98"
"4",52556,"ناشنيده‌هايي درباره‌ي قدرت و شکوه زن در کلام امام و رهبري",96,3500,4.234375,"بيان معنوي","spring98"
"5",52210,"داستان دو شهر",154,2800,3.55555555555556,"سبکتو","spring98"
"6",48819,"راهنماي مردان براي شناخت زنان",248,5950,4.42592592592593,"انتشارات نسل نوانديش","spring98"
"7",45480,"فرمول برنامه‌ريزي؛ راهنمايي براي ايجاد فهرست‌هاي کاري",138,9000,4.44943820224719,"نشر نوين","spring98"
"8",43195,"يادت باشد...",328,14000,4.73795180722892,"نشر شهيد کاظمي","spring98"
"9",37592,"خودت باش دختر",232,9000,3.91463414634146,"کتاب کوله پشتي","spring98"
"10",37373,"زنان زيرک؛ چرا مردان عاشق زنان زيرک مي‌شوند؟",210,8000,4.27040816326531,"نشر دانژه","spring98"
"11",37599,"نگاهي به رابطه‌ي عبد و مولا",259,3500,4.79411764705882,"بيان معنوي","spring98"
"12",37096,"هنر ظريف رهايي از دغدغه‌ها روشي نوين براي خوب زندگي کردن",224,7000,4.42827868852459,"انتشارات ميلکان","spring98"
"13",32822,"پل‌هاي مديسن کانتي",140,250,4.10714285714286,"انتشارات کتاب‌سراي نيک","spring98"
"14",29231,"جمشيدخان‌ عمويم‌، که‌ باد‌ هميشه‌ او را با خود‌ مي‌برد",134,5000,3.96666666666667,"نشر نيماژ","spring98"
"15",33195,"چگونه يک نماز خوب بخوانيم؟",220,3900,4.61123110151188,"بيان معنوي","spring98"
"16",30388,"خاطرات سفير",224,10000,4.5793991416309,"انتشارات سوره مهر","spring98"
"17",18870,"سلام بر ابراهيم (جلد اول)",239,5600,4.77853260869565,"انتشارات شهيد ابراهيم هادي","spring98"
"18",23242,"اثر مرکب",92,2800,4.33783783783784,"سبکتو","spring98"
"19",4206,"انسان در جستجوي معنا",168,4800,4.17514124293785,"انتشارات جامي","spring98"
"20",1014,"کيمياگر",244,5000,4.22413793103448,"نشر ثالث","spring98"
"21",60950,"استايل",720,20000,2.68595041322314,"انتشارات سخن","summer98"
"22",60945,"ذهن خالي",784,25000,3.20134228187919,"انتشارات سخن","summer98"
"23",61844,"سربلند",368,12500,4.18831168831169,"نشر شهيد کاظمي","summer98"
"24",59529,"پنج قدم فاصله",217,5000,4.45142857142857,"انتشارات ميلکان","summer98"
"25",60844,"کار عميق قوانيني براي تمرکز در دنيايي آشفته",256,13000,4.15277777777778,"نشر نوين","summer98"
"26",57406,"شکلات تلخ",864,30000,3.4,"انتشارات سخن","summer98"
"27",59248,"فصلنامه ادبي سان ـ شماره <U+06F3> ـ تابستان <U+06F9><U+06F8>",273,9000,3.58823529411765,"فصلنامه ادبي سان","summer98"
"28",56765,"چگونه‌ صبح‌ها سرحال‌تر باشيم",148,6000,3.66666666666667,"نشر پيدايش","summer98"
"29",60935,"مجله ناداستان ـ شماره <U+06F0><U+06F0><U+06F3> ـ مرداد <U+06F9><U+06F8>",224,12000,4.76923076923077,"ناداستان","summer98"
"30",57829,"جايي که خرچنگ‌ها آواز مي‌خوانند",444,8500,4.23287671232877,"نشر روزگار","summer98"
"31",57251,"اوضاع خيلي خراب است؛ کتابي درباره‌ي اميد",232,10000,3.78125,"انتشارات ميلکان","summer98"
"32",56408,"پوست در بازي؛ عدم تقارن پنهان در زندگي روزمره",338,17000,4.08333333333333,"نشر نوين","summer98"
"33",56661,"دوپامين، مولکولي با خواص شگفت‌انگيز",224,15000,4.04,"انتشارات مازيار","summer98"
"34",56416,"<U+06F1><U+06F9><U+06F8><U+06F4>",288,4250,4.28571428571429,"انتشارات مجيد","summer98"
"35",56654,"نيايش چرنوبيل؛ رويدادنامه‌ي آينده",339,15000,4.16666666666667,"نشر چشمه","summer98"
"36",56421,"قلعه‌ي حيوانات",128,2700,4.55172413793104,"انتشارات مجيد","summer98"
"37",56643,"ارتفاع",146,4500,3.19230769230769,"نشر روزگار","summer98"
"38",56098,"آن دختر يهودي",382,13000,4.17171717171717,"انتشارات کتابستان معرفت","summer98"
"39",56068,"اشتباهات يک زن؛ جلد اول تجربه‌هاي ارزشمند",112,7000,3.84848484848485,"انتشارات مجيد","summer98"
"40",55980,"شيرفروش",376,13000,2.8936170212766,"انتشارات مجيد","summer98"
"41",55094,"شدن",500,16000,2.47826086956522,"نشر روزگار","summer98"
"42",55633,"عشق کافي نيست",225,8000,3.84375,"انتشارات ميلکان","summer98"
"43",55359,"خودت باش دختر",186,2800,3.66666666666667,"سبکتو","summer98"
"44",54880,"شيوه گرگ؛ سيستم فروش خط مستقيم",281,14500,4.03225806451613,"نشر نوين","summer98"
"45",51515,"آذرگان (سرگذشت آب و آتش)",640,10000,4.65625,"انتشارات پر","winter97"
"46",45480,"فرمول برنامه‌ريزي؛ راهنمايي براي ايجاد فهرست‌هاي کاري",138,9000,4.44943820224719,"نشر نوين","winter97"
"47",43195,"يادت باشد...",328,14000,4.73795180722892,"نشر شهيد کاظمي","winter97"
"48",46484,"فصلنامه ادبي سان ـ شماره <U+06F1> ـ زمستان <U+06F9><U+06F7>",293,9000,4.23529411764706,"فصلنامه ادبي سان","winter97"
"49",42802,"سرباز کوچک امام؛ خاطرات اسير سيزده ساله‌ي جنگ تحميلي",243,15000,4.67241379310345,"انتشارات کتاب قهرمان","winter97"
"50",37592,"خودت باش دختر",232,9000,3.91463414634146,"کتاب کوله پشتي","winter97"
"51",37373,"زنان زيرک؛ چرا مردان عاشق زنان زيرک مي‌شوند؟",210,8000,4.27040816326531,"نشر دانژه","winter97"
"52",37096,"هنر ظريف رهايي از دغدغه‌ها روشي نوين براي خوب زندگي کردن",224,7000,4.42827868852459,"انتشارات ميلکان","winter97"
"53",33195,"چگونه يک نماز خوب بخوانيم؟",220,3900,4.61123110151188,"بيان معنوي","winter97"
"54",18870,"سلام بر ابراهيم (جلد اول)",239,5600,4.77853260869565,"انتشارات شهيد ابراهيم هادي","winter97"
"55",23242,"اثر مرکب",92,2800,4.33783783783784,"سبکتو","winter97"
"56",20586,"<U+06F5> زبان عشق : رازهايي براي داشتن عشق پايدار",203,5000,4.74853801169591,"نشر نوين","winter97"
"57",4206,"انسان در جستجوي معنا",168,4800,4.17514124293785,"انتشارات جامي","winter97"
"58",41041,"حرمسراي قذافي",364,18500,3.45679012345679,"نشر ثالث","fall97"
"59",42633,"خودت را به فنا نده؛ کمتر فکر کن و دل به زندگي بده",136,7000,3.7375,"کتاب کوله پشتي","fall97"
"60",40289,"سلام بر ابراهيم (جلد دوم)؛ ادامه زندگينامه و خاطرات شهيد ابراهيم هادي",240,7000,4.74736842105263,"انتشارات شهيد ابراهيم هادي","fall97"
"61",40445,"دوازده قانون زندگي؛ نوشداروي بي‌نظمي",450,12000,3.47058823529412,"نشر نوين","fall97"
"62",34441,"نجيب‌زاده‌اي در مسکو",596,7000,4.54166666666667,"کتاب کوله پشتي","fall97"
"63",40302,"احضاريه",224,8000,3.57333333333333,"نشر اسم","fall97"
"64",37088,"خشکسالي",320,7000,3.61111111111111,"انتشارات ميلکان","fall97"
"65",40165,"راهبري زندگي با شهود دروني؛ متعادل‌کردن زمين و آسمان",500,28000,3.47058823529412,"بنياد فرهنگ زندگي","fall97"
"66",39551,"تمرکز",280,13500,4.47058823529412,"پندار تابان","fall97"
"67",38473,"واقعيت؛ ده دليل براي اينکه درباره جهان اشتباه فکر مي‌کنيم",320,8900,4.08333333333333,"نشر نوين","fall97"
"68",37599,"نگاهي به رابطه‌ي عبد و مولا",259,3500,4.79411764705882,"بيان معنوي","fall97"
"69",30749,"زندگي خود را دوباره بيافرينيد",529,2700,3.78571428571429,"انتشارات شمشاد","fall97"
"70",23512,"چگونه به کودکمان گوش کنيم، چگونه با او صحبت کنيم",294,7500,3,"انتشارات ما و شما","fall97"
